ID CAE,OK DE GF,Matricula Antigua,Contrato,Acta de Entrega,Acta Devolución,BAJA,Ficha Técnica,Permiso de Circulación,IVTM,Compañía/Proveedor,Cod.Tipo Contrato,Tipo Contrato,Situación Contrato,f Vig Inicio,F.Vig.Final,Tiempo Prop,Año,Cod.Sit.Contrato,Combustible,Marca,Modelo/Versión,Cod.Sociedad,Sociedad,Ceco.Imput,Columna1,Localidad,Provincia,Com. Aut.,Dirección,Huso,Coord.,Referencia Catastral,Descripción de la actuación,Matricula nueva,Marca2,Modelo/Versión3,Combustible4,Ceco,Renov. Flota,Fecha Alta,Columna3,Cod.Sociedad5,Pedido,Sociedad6,Ceco imputado,Factura,Comunidad Autonoma2,CHASIS/Bastidor,CVA,F,CVN,L,Ahorro estimado,Columna2,CALCULO GF,Vacias
CAE500048,,1541LDT,,,,,,,,WASTERENT,3,ALQUILER,DEVUELTO,44664,2023-11-30,596,1905-07-15,7,DIESEL,MERCEDES,RSU,1006,ARAGONESA SER.PUBLICOS SL,733615,3,,,,,,,,,,,,,,,,,,,,,,,,,,,53508,,,,FALSO ALQUILER
CAE500049,,6426GPD,,,,,,,,PROPIEDAD,5,PROPIEDAD,CANCELADO,40038,2023-06-13,5052,1905-07-15,4,DIESEL,MERCEDES,RSU,1006,ARAGONESA SER.PUBLICOS SL,730629,4,,,,,,,,,,,,,,,,,,,,,,,,,,,53508,,,,FALSO PROPIEDAD
CAE500050,CAE500050,8030LKY,X,,X,,X,X,,AYVENS,1,RENTING,DEVUELTO,44166,2024-12-01,1461,2024,7,DIESEL,SEAT,ARONA 1.6 TDI 95 CV,1021,MEDICION AVANZADA CONTAD.,357107,9,Valencia,Valencia,Comunidad Valenciana,Gran Vía Marques del Turia 19,UTM 30 ETRS89,726043.16  4371771.79,6019215YJ2761G0001XI,Sustitución de vehículo de combustión por eléctrico,6493MWV,CITROEN,Ë-C3 ELÉCTRICO MAX,ELECTRICO,357107,2024,2024-11-29,0,1021,4500424809,MEDICION AVANZADA CONTAD.,,X,COMUNIDAD VALENCIANA,VR7CBZYA2RT152198,5.1,10,16.4,13073,4523.258000000001,M1,6795.3454,CORRECTO ALQUILER
CAE500051,CAE500051,8066LKY,X,,X,,X,X,,AYVENS,1,RENTING,DEVUELTO,44166,2024-12-01,1461,2024,7,DIESEL,SEAT,ARONA 1.6 TDI 95 CV,1200,EMIVASA,12009060,5,Valencia,Valencia,Comunidad Valenciana,Pedrapiquers 4,UTM 30 ETRS89,723006.99  4370803.79,3110819YJ2730G0001DW,Sustitución de vehículo de combustión por eléctrico,3122MWZ,CITROEN,Ë-C3 ELÉCTRICO MAX,ELECTRICO,200028,2024,2024-12-12,0,1200,4500424889,EMIVASA,,X,COMUNIDAD VALENCIANA,VR7CBZYA7RT154433,5.1,10,16.4,13073,4523.258000000001,M1,6795.3454,CORRECTO ALQUILER
CAE500052,,2933GFR,,,,,,,,PROPIEDAD,5,PROPIEDAD,CANCELADO,41393,2023-07-17,3731,1905-07-15,4,DIESEL,SCANIA,R 420 L4X2MNA,1006,ARAGONESA SER.PUBLICOS SL,730629,5,,,,,,,,,,,,,,,,,,,,,,,,,,,53508,,,,FALSO PROPIEDAD
CAE500053,,3264KSC,,,,,,,,PROPIEDAD,5,PROPIEDAD,CANCELADO,43439,2023-07-17,1685,1905-07-15,4,DIESEL,MERCEDES,RSU,1006,ARAGONESA SER.PUBLICOS SL,733618,6,,,,,,,,,,,,,,,,,,,,,,,,,,,53508,,,,FALSO PROPIEDAD
CAE500054,CAE500054,0269LLK,X,,X,,X,X,,AYVENS,1,RENTING,DEVUELTO,44179,2024-12-14,1461,2024,7,DIESEL,SEAT,ARONA 1.6 TDI 95 CV,1001,AGUAS DE VALENCIA SA,201701,8,Valencia,Valencia,Comunidad Valenciana,Gran Vía Marques del Turia 19,UTM 30 ETRS89,726043.16  4371771.79,6019215YJ2761G0001XI,Sustitución de vehículo de combustión por eléctrico,6094MWV,CITROEN,Ë-C3 ELÉCTRICO MAX,ELECTRICO,200317,2024,2024-11-29,0,1001,4500426700,AVSA,,X,COMUNIDAD VALENCIANA,VR7CBZYA4ST000168,5.1,10,16.4,13073,4523.258000000001,M1,6795.3454,CORRECTO ALQUILER
CAE500055,CAE500055,9413LKC,X,,X,,X,X,,AYVENS,1,RENTING,DEVUELTO,44153,2024-11-18,1461,2024,7,DIESEL,SEAT,ARONA 1.6 TDI 95 CV,1505,"CIA.GRAL.AIGÜES D CATALUNYA,SA",205567,3,Barcelona,Barcelona,Cataluña,Aribau 112,UTM 31 ETRS89,429520.47  4582478.80,9626426DF2892F0001ZO,Sustitución de vehículo de combustión por eléctrico,8606MWT,RENAULT,KANGOO VAN E-TECH ELECTRIC,ELECTRICO,355577,2024,2024-11-29,0,1505,4500426774,CGAC,,X,CATALUÑA,VF1RFK00073824797,5.1,10,17.3,13073,4405.601000000001,M1,6795.3454,CORRECTO ALQUILER
CAE500056,CAE500056,9455LKC,X,,X,,X,X,,AYVENS,1,RENTING,DEVUELTO,44153,2024-11-18,1461,2024,7,DIESEL,SEAT,ARONA 1.6 TDI 95 CV,1064,AYWA SER.AMBIENTALES SL,10649080,1,Valencia,Valencia,Comunidad Valenciana,Gran Vía Marques del Turia 19,UTM 30 ETRS89,726043.16  4371771.79,6019215YJ2761G0001XI,Sustitución de vehículo de combustión por eléctrico,3147MXJ,RENAULT,KANGOO VAN E-TECH ELECTRIC,ELECTRICO,DEFINIR,2024,2024-12-23,0,1064,X,AYWA SER.AMBIENTALES SL,,X,COMUNIDAD VALENCIANA,VF1RFK00073934300,5.1,10,17.3,13073,4405.601000000001,M1,6795.3454,CORRECTO ALQUILER
CAE500057,CAE500057,5243LKX,X,,X,,X,X,,AYVENS,1,RENTING,DEVUELTO,44166,2024-12-01,1461,2024,7,DIESEL,SEAT,ARONA 1.6 TDI 95 CV,1066,CANALIZ. CIVILES S.A.,10669100,2,Valencia,Valencia,Comunidad Valenciana,Llanterners 3,UTM 30 ETRS89,723014.22  4371274.90,3114104YJ2731C0001SY,Sustitución de vehículo de combustión por eléctrico,8658MWT,RENAULT,KANGOO VAN E-TECH ELECTRIC,ELECTRICO,356006,2024,2024-11-29,0,1066,4500426798,CANALIZ. CIVILES S.A.,,X,COMUNIDAD VALENCIANA,VF1RFK00273824820,5.1,10,17.3,13073,4405.601000000001,M1,6795.3454,CORRECTO ALQUILER
CAE500058,CAE500058,5255LKX,X,,X,,X,X,,AYVENS,1,RENTING,DEVUELTO,44215,2025-01-19,1461,2025,7,DIESEL,SEAT,ARONA 1.6 TDI 95 CV,1001,AGUAS DE VALENCIA SA,200784,9,Valencia,Valencia,Comunidad Valenciana,Gran Vía Marques del Turia 19,UTM 30 ETRS89,726043.16  4371771.79,6019215YJ2761G0001XI,Sustitución de vehículo de combustión por eléctrico,6370MXF,RENAULT,KANGOO VAN E-TECH ELECTRIC,ELECTRICO,350535,2024,2024-12-19,-1,1001,4500426771,AVSA,,X,COMUNIDAD VALENCIANA,VF1RFK00373824888,5.1,10,17.3,13073,4405.601000000001,M1,6795.3454,CORRECTO ALQUILER
CAE500059,CAE500059,9276LMB,X,,X,,x,x,,AYVENS,1,RENTING,DEVUELTO,44215,2025-01-19,1461,2025,7,DIESEL,SEAT,ARONA 1.6 TDI 95 CV,1053,"IMPL.SISTEMAS DE GESTION, S.L.",355528,2,Valencia,Valencia,Comunidad Valenciana,Gran Vía Marques del Turia 19,UTM 30 ETRS89,726043.16  4371771.79,6019215YJ2761G0001XI,Sustitución de vehículo de combustión por eléctrico,8392MXG,RENAULT,KANGOO VAN E-TECH ELECTRIC,ELECTRICO,355457,2024,2024-12-20,-1,1053,4500426874,ISG,,X,COMUNIDAD VALENCIANA,VF1RFK00273934282,5.1,10,17.3,13073,4405.601000000001,M1,6795.3454,CORRECTO ALQUILER
CAE500060,CAE500060,4988LLY,X,,X,,X,X,,AYVENS,1,RENTING,DEVUELTO,44215,2025-01-19,1461,2025,7,DIESEL,SEAT,ARONA 1.6 TDI 95 CV,1004,G.O.MEDIOAMBIENTE S.L.,204427,1,Valencia,Valencia,Comunidad Valenciana,Gran Vía Marques del Turia 17,UTM 30 ETRS89,726013.62  4371779.06,6019216YJ2761G0001II,Sustitución de vehículo de combustión por eléctrico,6051KRV,RENAULT,ZOE 40,ELECTRICO,724317,2024,2024-03-23,-1,1004,4500399254,G.O.MEDIOAMBIENTE S.L.,,X,COMUNIDAD VALENCIANA,VF1AG000561226133,5.1,10,13.3,13073,4928.521,M1,6795.3454,CORRECTO ALQUILER
CAE500061,CAE500061,0251LLK,X,,X,,X,X,,AYVENS,1,RENTING,CANCELADO POR SINIESTRO,44237,2025-02-10,1461,2025,6,DIESEL,SEAT,ARONA 1.6 TDI 95 CV,1053,"IMPL.SISTEMAS DE GESTION, S.L.",355539,3,Valencia,Valencia,Comunidad Valenciana,Gran Vía Marques del Turia 19,UTM 30 ETRS89,726043.16  4371771.79,6019215YJ2761G0001XI,Sustitución de vehículo de combustión por eléctrico,0602KHK,RENAULT,ZOE 40,ELECTRICO,355539,2024,2024-06-21,-1,1053,4500409585,ISG,,X,COMUNIDAD VALENCIANA,VF1AGVYF059267878,5.1,10,13.3,13073,4928.521,M1,6795.3454,CORRECTO ALQUILER
CAE500062,,4979LFG,,,,,,,,AYVENS,1,RENTING,DEVUELTO,43873,2024-02-12,1461,1905-07-16,7,DIESEL,RENAULT,MÉGANE 1.5 DCI 110CV,8009,VALORIA 2015 SLU,DEFINIR,1,,,,,,,,,,,,,,,,,,,,,,,,,,,53508,,,,FALSO ALQUILER
CAE500063,,4939LFG,,,,,,,,AYVENS,1,RENTING,DEVUELTO,43875,2024-02-14,1461,1905-07-16,7,DIESEL,RENAULT,MÉGANE 1.5 DCI 110CV,8132,GLOBAL OMNIUM IDRICA SL,DEFINIR,1,,,,,,,,,,,,,,,,,,,,,,,,,,,53508,,,,FALSO ALQUILER
CAE500064,CAE500064,0246LLK,X,,X,,X,X,,AYVENS,1,RENTING,DEVUELTO,44186,2024-12-21,1461,2024,7,DIESEL,SEAT,ARONA 1.6 TDI 95 CV,1004,G.O.MEDIOAMBIENTE S.L.,200101,2,Valencia,Valencia,Comunidad Valenciana,Gran Vía Marques del Turia 17,UTM 30 ETRS89,726013.62  4371779.06,6019216YJ2761G0001II,Sustitución de vehículo de combustión por eléctrico,6727LMH,SILENCE,SEAT MO E 125 CC,ELECTRICO,724236,2024,2024-04-09,0,1004,4500398936,G.O.MEDIOAMBIENTE S.L.,,X,COMUNIDAD VALENCIANA,UCYS01S0ZMB000266,5.1,10,7,13073,5752.12,M1,6795.3454,CORRECTO ALQUILER
CAE500065,CAE500065,4456KVD,X,X,X,,X,X,,AYVENS,1,RENTING,DEVUELTO,43578,2023-04-23,1461,2023,7,DIESEL,OPEL,ASTRA 1.6 CDTI 110 CV,1066,CANALIZ. CIVILES S.A.,10669101,3,Valencia,Valencia,Comunidad Valenciana,Llanterners 3,UTM 30 ETRS89,723014.22  4371274.90,3114104YJ2731C0001SY,Sustitución de vehículo de combustión por eléctrico,6022MWV,CITROEN,Ë-C3 ELÉCTRICO MAX,ELECTRICO,10669120,2024,2024-11-29,1,1066,4500426701,CANALIZ. CIVILES S.A.,,X,COMUNIDAD VALENCIANA,VR7CBZYA1ST000158,5.1,10,16.4,13073,4523.258000000001,M1,6795.3454,CORRECTO ALQUILER
CAE500066,CAE500066,8298KZS,X,,X,,X,X,,AYVENS,1,RENTING,DEVUELTO,43726,2024-09-18,1827,2024,7,DIESEL,OPEL,ASTRA 1.6 CDTI 110 CV,1001,AGUAS DE VALENCIA SA,10019946,10,Valencia,Valencia,Comunidad Valenciana,Gran Vía Marques del Turia 19,UTM 30 ETRS89,726043.16  4371771.79,6019215YJ2761G0001XI,Sustitución de vehículo de combustión por eléctrico,6007MWV,CITROEN,Ë-C3 ELÉCTRICO MAX,ELECTRICO,200738,2024,2024-11-26,0,1001,4500424789,AVSA,,X,COMUNIDAD VALENCIANA,VR7CBZYA9RT152179,5.1,10,16.4,13073,4523.258000000001,M1,6795.3454,CORRECTO ALQUILER
CAE500067,CAE500067,9019LBN,X,X,X,,X,X,,AYVENS,1,RENTING,DEVUELTO,43749,2024-10-11,1827,2024,7,DIESEL,OPEL,ASTRA 1.6 CDTI 110 CV,1004,G.O.MEDIOAMBIENTE S.L.,10049946,3,Valencia,Valencia,Comunidad Valenciana,Gran Vía Marques del Turia 17,UTM 30 ETRS89,726013.62  4371779.06,6019216YJ2761G0001II,Sustitución de vehículo de combustión por eléctrico,6442MWV,CITROEN,Ë-C3 ELÉCTRICO MAX,ELECTRICO,204427,2024,2024-11-29,0,1004,4500424798,G.O.MEDIOAMBIENTE S.L.,,X,COMUNIDAD VALENCIANA,VR7CBZYA9RT153042,5.1,10,16.4,13073,4523.258000000001,M1,6795.3454,CORRECTO ALQUILER
CAE500068,CAE500068,9105KTC,X,X,X,,X,X,,AYVENS,1,RENTING,CANCELADO POR SINIESTRO,43522,2024-02-26,1826,2024,6,DIESEL,OPEL,ASTRA 1.6 CDTI 110 CV,1004,G.O.MEDIOAMBIENTE S.L.,10049946,4,Valencia,Valencia,Comunidad Valenciana,Gran Vía Marques del Turia 17,UTM 30 ETRS89,726013.62  4371779.06,6019216YJ2761G0001II,Sustitución de vehículo de combustión por eléctrico,1178MSX,NISSAN,TOWNSTAR,ELECTRICO,724557,2024,2024-07-10,0,1004,4500407442,G.O.MEDIOAMBIENTE S.L.,,X,COMUNIDAD VALENCIANA,VNVNFK00X70248339,5.1,10,20,13073,4052.63,M1,6795.3454,CORRECTO ALQUILER
CAE500069,CAE500069,4793KWD,X,,X,,X,X,,AYVENS,1,RENTING,DEVUELTO,43584,2023-04-29,1461,2023,7,DIESEL,OPEL,ASTRA 1.6 CDTI 110 CV,1001,AGUAS DE VALENCIA SA,200783,11,Valencia,Valencia,Comunidad Valenciana,Gran Vía Marques del Turia 19,UTM 30 ETRS89,726043.16  4371771.79,6019215YJ2761G0001XI,Sustitución de vehículo de combustión por eléctrico,2705MXG,RENAULT,KANGOO VAN E-TECH ELECTRIC,ELECTRICO,200567,2024,2024-12-19,1,1001,4500426873,AVSA,,X,COMUNIDAD VALENCIANA,VF1RFK00073934264,5.1,10,17.3,13073,4405.601000000001,M1,6795.3454,CORRECTO ALQUILER
CAE500070,CAE500070,4296LBD,X,,X,,X,X,,AYVENS,1,RENTING,DEVUELTO,43747,2023-10-09,1461,2023,7,DIESEL,OPEL,ASTRA 1.6 CDTI 110 CV,1066,CANALIZ. CIVILES S.A.,10669121,4,Valencia,Valencia,Comunidad Valenciana,Llanterners 3,UTM 30 ETRS89,723014.22  4371274.90,3114104YJ2731C0001SY,Sustitución de vehículo de combustión por eléctrico,8626MWT,RENAULT,KANGOO VAN E-TECH ELECTRIC,ELECTRICO,356006,2024,2024-11-29,1,1066,4500426766,CANALIZ. CIVILES S.A.,,X,COMUNIDAD VALENCIANA,VF1RFK00X73824810,5.1,10,17.3,13073,4405.601000000001,M1,6795.3454,CORRECTO ALQUILER
CAE500071,CAE500071,7017KWW,X,,X,,X,X,,AYVENS,1,RENTING,DEVUELTO,43619,2024-07-03,1857,2024,7,DIESEL,OPEL,ASTRA 1.6 CDTI 110 CV,1001,AGUAS DE VALENCIA SA,10019946,12,Valencia,Valencia,Comunidad Valenciana,Gran Vía Marques del Turia 19,UTM 30 ETRS89,726043.16  4371771.79,6019215YJ2761G0001XI,Sustitución de vehículo de combustión por eléctrico,5360MXF,RENAULT,KANGOO VAN E-TECH ELECTRIC,ELECTRICO,350535,2024,2024-12-19,0,1001,4500426758,AVSA,,X,COMUNIDAD VALENCIANA,VF1RFK00873824885,5.1,10,17.3,13073,4405.601000000001,M1,6795.3454,CORRECTO ALQUILER
CAE500072,CAE500072,8891LBN,X,X,X,,X,X,,AYVENS,1,RENTING,DEVUELTO,43749,2024-10-11,1827,2024,7,DIESEL,OPEL,ASTRA 1.6 CDTI 110 CV,1002,G.O.INVERSIONES S.L.,10029200,1,Valencia,Valencia,Comunidad Valenciana,Gran Vía Marques del Turia 19,UTM 30 ETRS89,726043.16  4371771.79,6019215YJ2761G0001XI,Sustitución de vehículo de combustión por eléctrico,6952MXF,RENAULT,KANGOO VAN E-TECH ELECTRIC,ELECTRICO,200370,2024,2024-12-19,0,1002,4500426808,G.O.INVERSIONES S.L.,,X,COMUNIDAD VALENCIANA,VF1RFK00873934304,5.1,10,17.3,13073,4405.601000000001,M1,6795.3454,CORRECTO ALQUILER
CAE500073,,5113CNG,,,,,,,,CEDIDO,6,"CEDIDO (por ayto, planta.",CANCELADO,44330,2024-03-31,1052,1905-07-16,4,DIESEL,CITROEN,C 3 1.4,1329,UTE SOFTCAD-VANAGUA,351329,1,,,,,,,,,,,,,,,,,,,,,,,,,,,53508,,,,FALSO ALQUILER
CAE500074,CAE500074,7190JDY,,,,,X,,,OTROS,8,OTROS AUTORIZADOS,CANCELADO,42116,2024-03-31,3266,2024,4,HÍBRIDO,TOYOTA,AURIS,1001,AGUAS DE VALENCIA SA,10019946,13,Valencia,Valencia,Comunidad Valenciana,Gran Vía Marques del Turia 19,UTM 30 ETRS89,726043.16  4371771.79,6019215YJ2761G0001XI,Sustitución de vehículo de combustión por eléctrico,2737MXG,RENAULT,KANGOO VAN E-TECH ELECTRIC,ELECTRICO,100599,2024,2024-12-19,0,1001,4500426786,AVSA,,X,COMUNIDAD VALENCIANA,VF1RFK00573824889,5.1,9.19,17.3,13073,3865.5553699999987,M1,0,FALSO ALQUILER
CAE500075,CAE500075,4161FVT,X,X,X,,X,X,,TLM,3,ALQUILER,DEVUELTO,2023-05-29,2023-09-20,114,2023,7,DIESEL,NISSAN,CABSTAR 130 CV,1066,CANALIZ. CIVILES S.A.,356004,5,Valencia,Valencia,Comunidad Valenciana,Llanterners 3,UTM 30 ETRS89,723014.22  4371274.90,3114104YJ2731C0001SY,Sustitución de vehículo de combustión por eléctrico,6037MWV,CITROEN,Ë-C3 ELÉCTRICO MAX,ELECTRICO,356010,2024,2024-11-29,1,1066,4500426703,CANALIZ. CIVILES S.A.,,X,COMUNIDAD VALENCIANA,VR7CBZYA9ST000165,5.6,10,16.4,15815,6262.740000000001,N1,5607.998999999999,CORRECTO ALQUILER
CAE500076,,6061KRD,,,,,,,,AYVENS,1,RENTING,DEVUELTO,43416,2024-04-04,1970,1905-07-16,7,GLP,OPEL,CORSA 1.4 90 CV GLP 5P,8001,FUCSA,10019931,2,,,,,,,,,,,,,,,,,,,,,,,,,,,53508,,,,FALSO ALQUILER
CAE500077,CAE500077,4836MGD,X,,X,,X,X,,AYVENS,3,ALQUILER,DEVUELTO,2023-10-03,2023-12-18,76,2023,7,DIESEL,RENAULT,CLIO 1.5 DCI 100 CV,1505,"CIA.GRAL.AIGÜES D CATALUNYA,SA",355589,4,Barcelona,Barcelona,Cataluña,Aribau 112,UTM 31 ETRS89,429520.47  4582478.80,9626426DF2892F0001ZO,Sustitución de vehículo de combustión por eléctrico,2087MJP,RENAULT,KANGOO VAN E-TECH,ELECTRICO,725465,2023,2023-07-28,0,1505,4500351520,CGAC,,X,CATALUÑA,VF1RFK00670686992,5.1,10,17.3,13073,4405.601000000001,M1,6795.3454,CORRECTO ALQUILER
CAE500078,,BR534034,,,,,,,,CEDIDO,6,"CEDIDO (por ayto, planta.",CANCELADO,43879,2024-04-15,1518,1905-07-16,4,DIESEL,HERMANOS GARCIA,REMOLQUE AGRICOLA BASCULANTE,1326,UTE EDAR TABLADA,721326,2,,,,,,,,,,,,,,,,,,,,,,,,,,,53508,,,,FALSO ALQUILER
CAE500079,,BR534037,,,,,,,,CEDIDO,6,"CEDIDO (por ayto, planta.",CANCELADO,43879,2024-04-15,1518,1905-07-16,4,DIESEL,HERMANOS GARCIA,REMOLQUE AGRICOLA BASCULANTE,1326,UTE EDAR TABLADA,721326,3,,,,,,,,,,,,,,,,,,,,,,,,,,,53508,,,,FALSO ALQUILER
CAE500080,CAE500080,7621KGX,,,X,,,x,x,AYVENS,3,ALQUILER,DEVUELTO,2023-02-01,2023-02-27,26,2023,7,DIESEL,RENAULT,CLIO 1.5 DCI 75 CV,1505,"CIA.GRAL.AIGÜES D CATALUNYA,SA",725485,5,Barcelona,Barcelona,Cataluña,Aribau 112,UTM 31 ETRS89,429520.47  4582478.80,9626426DF2892F0001ZO,Sustitución de vehículo de combustión por eléctrico,0767MJM,PEUGEOT,E-PARTNER PRO 100 KW,ELECTRICO,725455,2023,2023-07-26,0,1505,4500370216,CGAC,,X,CATALUÑA,VR3EAZKXZPJ701046,5.1,10,22.7,13073,3699.6590000000006,M1,6795.3454,FALSO ALQUILER
CAE500081,CAE500081,7706KJH,,,x,,,x,x,AYVENS,3,ALQUILER,DEVUELTO,2023-02-01,2023-02-27,26,2023,7,DIESEL,RENAULT,CLIO 1.5 DCI 75 CV,1505,"CIA.GRAL.AIGÜES D CATALUNYA,SA",725485,6,Barcelona,Barcelona,Cataluña,Aribau 112,UTM 31 ETRS89,429520.47  4582478.80,9626426DF2892F0001ZO,Sustitución de vehículo de combustión por eléctrico,0777MJM,PEUGEOT,E-PARTNER PRO 100 KW,ELECTRICO,725455,2023,2023-07-26,0,1505,4500370232,CGAC,,X,CATALUÑA,VR3EAZKXZPJ701037,5.1,10,22.7,13073,3699.6590000000006,M1,6795.3454,FALSO ALQUILER
CAE500082,CAE500082,5351MGK,X,X,X,,X,X,,AYVENS,3,ALQUILER,DEVUELTO,2023-10-03,2024-03-21,170,2024,7,DIESEL,RENAULT,CLIO DCI 100 CV,1505,"CIA.GRAL.AIGÜES D CATALUNYA,SA",355589,7,Barcelona,Barcelona,Cataluña,Aribau 112,UTM 31 ETRS89,429520.47  4582478.80,9626426DF2892F0001ZO,Sustitución de vehículo de combustión por eléctrico,1666MGR,OPEL,VIVARO E-FURGON,ELECTRICO,725485,2023,2023-05-05,-1,1505,4500352855,CGAC,,X,CATALUÑA,VXEV1ZKXZPZ019578,5.1,10,28.1,13073,2993.7169999999996,M1,6795.3454,CORRECTO ALQUILER
CAE500083,CAE500083,5262MGK,X,,X,,X,X,,AYVENS,3,ALQUILER,DEVUELTO,2023-10-03,2023-11-29,57,2023,7,DIESEL,RENAULT,CLIO DCI 100 CV,1505,"CIA.GRAL.AIGÜES D CATALUNYA,SA",355589,8,Barcelona,Barcelona,Cataluña,Aribau 112,UTM 31 ETRS89,429520.47  4582478.80,9626426DF2892F0001ZO,Sustitución de vehículo de combustión por eléctrico,1258MJM,PEUGEOT,E-EXPERT PRO 100 KW,ELECTRICO,725441,2023,2023-07-26,0,1505,4500370368,CGAC,,X,CATALUÑA,VF3V1ZKXZPZ027825,5.1,10,28.2,13073,2980.6440000000002,M1,6795.3454,CORRECTO ALQUILER
CAE500084,CAE500084,4655MGJ,X,,X,,x,x,,AYVENS,3,ALQUILER,DEVUELTO,2023-10-03,2024-03-31,180,2024,7,DIESEL,OPEL,CORSA 1.5 D 100 CV,1505,"CIA.GRAL.AIGÜES D CATALUNYA,SA",355589,9,Barcelona,Barcelona,Cataluña,Aribau 112,UTM 31 ETRS89,429520.47  4582478.80,9626426DF2892F0001ZO,Sustitución de vehículo de combustión por eléctrico,1667MGR,OPEL,VIVARO E-FURGON,ELECTRICO,725465,2023,2023-05-05,-1,1505,4500351861,CGAC,,X,CATALUÑA,VXEV1ZKXZPZ019580,5.1,10,28.1,13073,2993.7169999999996,M1,6795.3454,CORRECTO ALQUILER
CAE500085,,C4053BMN,,,,,,,,PROPIEDAD,5,PROPIEDAD,CANCELADO,37956,2024-05-15,7471,1905-07-16,4,GASOLINA,ADLY,CICLOMOTOR QWAD ATV 50 W,1400,EGEVASA,208379,2,,,,,,,,,,,,,,,,,,,,,,,,,,,53508,,,,FALSO PROPIEDAD
CAE500086,CAE500086,4223LJV,X,,X,,X,X,,VWRENTING,1,RENTING,DEVUELTO,44088,2024-09-14,1461,2024,7,DIESEL,VOLKSWAGEN,CADDY 2.0 TDI 102 CV,1507,EMP.AG.POTABL.MALGRAT SA,201507,1,Malgrat de Mar,Barcelona,Cataluña,Avda bon Pastor 9,UTM 31 ETRS89,478198.75  4610161.48,8302001DG7180S0029UZ,Sustitución de vehículo de combustión por eléctrico,4621MVB,NISSAN,TOWNSTAR,ELECTRICO,201507,2024,2024-09-16,0,1507,4500413615,EMP.AG.POTABL.MALGRAT SA,,X,CATALUÑA,VNVNFK00X70531114,5.6,10,20,15815,5693.4,N1,5607.998999999999,CORRECTO ALQUILER
CAE500087,CAE500087,3043KBJ,X,X,X,,X,X,,AYVENS,1,RENTING,DEVUELTO,42923,2024-09-30,2642,2024,7,DIESEL,VOLKSWAGEN,CADDY 4*4 2.0 TDI 122 CV,1053,"IMPL.SISTEMAS DE GESTION, S.L.",355458,4,Valencia,Valencia,Comunidad Valenciana,Gran Vía Marques del Turia 19,UTM 30 ETRS89,726043.16  4371771.79,6019215YJ2761G0001XI,Sustitución de vehículo de combustión por eléctrico,6128MWV,CITROEN,Ë-C3 ELÉCTRICO MAX,ELECTRICO,355539,2024,2024-11-29,0,1053,4500424790,ISG,,X,COMUNIDAD VALENCIANA,VR7CBZYA8RT154442,5.6,10,16.4,15815,6262.740000000001,N1,5607.998999999999,CORRECTO ALQUILER
CAE500088,CAE500088,3598LKS,X,X,X,,X,X,,AYVENS,1,RENTING,CANCELADO POR SINIESTRO,44166,2024-12-01,1461,2024,6,DIESEL,VOLKSWAGEN,CADDY 4*4 2.0 TDI 122 CV,1001,AGUAS DE VALENCIA SA,200738,14,Valencia,Valencia,Comunidad Valenciana,Gran Vía Marques del Turia 19,UTM 30 ETRS89,726043.16  4371771.79,6019215YJ2761G0001XI,Sustitución de vehículo de combustión por eléctrico,6087MWV,CITROEN,Ë-C3 ELÉCTRICO MAX,ELECTRICO,200784,2024,2024-11-29,0,1001,4500424802,AVSA,,X,COMUNIDAD VALENCIANA,VR7CBZYA7RT152214,5.6,10,16.4,15815,6262.740000000001,N1,5607.998999999999,CORRECTO ALQUILER
CAE500089,CAE500089,5013LLF,X,X,X,,X,X,,AYVENS,1,RENTING,DEVUELTO,44176,2024-12-11,1461,2024,7,DIESEL,VOLKSWAGEN,CADDY 4*4 2.0 TDI 122 CV,1053,"IMPL.SISTEMAS DE GESTION, S.L.",355528,5,Valencia,Valencia,Comunidad Valenciana,Gran Vía Marques del Turia 19,UTM 30 ETRS89,726043.16  4371771.79,6019215YJ2761G0001XI,Sustitución de vehículo de combustión por eléctrico,8387MXG,RENAULT,KANGOO VAN E-TECH ELECTRIC,ELECTRICO,355458,2024,2024-12-20,0,1053,4500426879,ISG,,X,COMUNIDAD VALENCIANA,VF1RFK00973934294,5.6,10,17.3,15815,6120.405,N1,5607.998999999999,CORRECTO ALQUILER
CAE500090,,3283KXV,,,,,,,,AYVENS,1,RENTING,DEVUELTO,43630,2024-06-14,1827,1905-07-16,7,GLP,OPEL,CORSA 1.4 90 CV GLP 5P,1202,"AIGÜES DE SAGUNT, S.A.",201202,1,,,,,,,,,,,,,,,,,,,,,,,,,,,53508,,,,FALSO ALQUILER
